JX001 2017   04   141120000E320000N  990 1000  100   153100000001111010000000000000000000000V1.00----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2001 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2002 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2003 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2004 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2005 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2006 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2007 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2008 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2009 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2010 200   0 200   0 200   02001 200   0 200   02001----------------------------   0   0---------------- 175 1752001 1752001----------------------------  35  35  352001  70  1910156101562001101562001---------------------------------------------------------------------------------------------------------------------------------------------------------------000000000000NNNNNNN00NNNN00000NNNNNNN00000000000NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
